Episode    500/1000000 | Mean reward (last 500): -0.45 | Win rate: 48.8% | Win rate (last 500): 48.8% | Policy loss: -0.0013 | Value loss: 91.6314 | Entropy: 1.0217
Episode   1000/1000000 | Mean reward (last 500): +0.79 | Win rate: 50.1% | Win rate (last 500): 51.4% | Policy loss: -0.0006 | Value loss: 90.6910 | Entropy: 1.0213
Episode   1500/1000000 | Mean reward (last 500): -0.57 | Win rate: 49.7% | Win rate (last 500): 48.8% | Policy loss: -0.0005 | Value loss: 91.8396 | Entropy: 1.0206
Episode   2000/1000000 | Mean reward (last 500): +1.10 | Win rate: 50.2% | Win rate (last 500): 52.0% | Policy loss: -0.0005 | Value loss: 90.4505 | Entropy: 1.0203
Episode   2500/1000000 | Mean reward (last 500): -0.80 | Win rate: 49.7% | Win rate (last 500): 47.6% | Policy loss: -0.0011 | Value loss: 91.0687 | Entropy: 1.0205
Episode   3000/1000000 | Mean reward (last 500): +1.32 | Win rate: 50.1% | Win rate (last 500): 52.2% | Policy loss: -0.0012 | Value loss: 90.7419 | Entropy: 1.0192
Episode   3500/1000000 | Mean reward (last 500): +1.16 | Win rate: 50.4% | Win rate (last 500): 51.8% | Policy loss: -0.0027 | Value loss: 90.6129 | Entropy: 1.0012
Episode   4000/1000000 | Mean reward (last 500): -0.42 | Win rate: 50.1% | Win rate (last 500): 48.6% | Policy loss: -0.0042 | Value loss: 91.4414 | Entropy: 0.9730
Episode   4500/1000000 | Mean reward (last 500): +0.45 | Win rate: 50.2% | Win rate (last 500): 50.6% | Policy loss: -0.0027 | Value loss: 90.3753 | Entropy: 0.9629
Episode   5000/1000000 | Mean reward (last 500): -0.59 | Win rate: 50.0% | Win rate (last 500): 48.4% | Policy loss: -0.0043 | Value loss: 92.8737 | Entropy: 0.9493
Episode   5500/1000000 | Mean reward (last 500): -2.11 | Win rate: 49.6% | Win rate (last 500): 45.2% | Policy loss: -0.0030 | Value loss: 92.9355 | Entropy: 0.9388
Episode   6000/1000000 | Mean reward (last 500): +0.93 | Win rate: 49.8% | Win rate (last 500): 52.0% | Policy loss: -0.0020 | Value loss: 93.0009 | Entropy: 0.9282
Episode   6500/1000000 | Mean reward (last 500): +1.49 | Win rate: 50.0% | Win rate (last 500): 52.0% | Policy loss: -0.0022 | Value loss: 89.3436 | Entropy: 0.9188
Episode   7000/1000000 | Mean reward (last 500): -0.64 | Win rate: 49.8% | Win rate (last 500): 47.6% | Policy loss: -0.0046 | Value loss: 87.7419 | Entropy: 0.8616
Episode   7500/1000000 | Mean reward (last 500): -0.15 | Win rate: 49.7% | Win rate (last 500): 49.2% | Policy loss: -0.0029 | Value loss: 92.6262 | Entropy: 0.8656
Episode   8000/1000000 | Mean reward (last 500): -1.07 | Win rate: 49.6% | Win rate (last 500): 47.2% | Policy loss: -0.0022 | Value loss: 93.6948 | Entropy: 0.8422
Episode   8500/1000000 | Mean reward (last 500): +1.72 | Win rate: 49.8% | Win rate (last 500): 53.0% | Policy loss: -0.0036 | Value loss: 92.9392 | Entropy: 0.8176
Episode   9000/1000000 | Mean reward (last 500): +0.26 | Win rate: 49.8% | Win rate (last 500): 49.8% | Policy loss: -0.0040 | Value loss: 90.0870 | Entropy: 0.7779
Episode   9500/1000000 | Mean reward (last 500): -0.92 | Win rate: 49.6% | Win rate (last 500): 46.4% | Policy loss: -0.0030 | Value loss: 88.7571 | Entropy: 0.7621
Episode  10000/1000000 | Mean reward (last 500): +0.25 | Win rate: 49.6% | Win rate (last 500): 50.0% | Policy loss: -0.0028 | Value loss: 91.2368 | Entropy: 0.7552
Episode  10500/1000000 | Mean reward (last 500): -0.35 | Win rate: 49.6% | Win rate (last 500): 48.6% | Policy loss: -0.0020 | Value loss: 92.0604 | Entropy: 0.7513
Episode  11000/1000000 | Mean reward (last 500): -0.12 | Win rate: 49.6% | Win rate (last 500): 49.2% | Policy loss: -0.0038 | Value loss: 88.1238 | Entropy: 0.7428
Episode  11500/1000000 | Mean reward (last 500): -0.40 | Win rate: 49.5% | Win rate (last 500): 48.4% | Policy loss: -0.0024 | Value loss: 90.2390 | Entropy: 0.7477
Episode  12000/1000000 | Mean reward (last 500): -0.15 | Win rate: 49.5% | Win rate (last 500): 48.8% | Policy loss: -0.0025 | Value loss: 90.6496 | Entropy: 0.7485
Episode  12500/1000000 | Mean reward (last 500): +1.89 | Win rate: 49.6% | Win rate (last 500): 53.0% | Policy loss: -0.0027 | Value loss: 88.2730 | Entropy: 0.7657
Episode  13000/1000000 | Mean reward (last 500): +0.97 | Win rate: 49.7% | Win rate (last 500): 51.4% | Policy loss: -0.0032 | Value loss: 90.9783 | Entropy: 0.7365
Episode  13500/1000000 | Mean reward (last 500): +0.98 | Win rate: 49.8% | Win rate (last 500): 51.4% | Policy loss: -0.0032 | Value loss: 91.2101 | Entropy: 0.7524
Episode  14000/1000000 | Mean reward (last 500): +0.90 | Win rate: 49.8% | Win rate (last 500): 50.8% | Policy loss: -0.0029 | Value loss: 90.9128 | Entropy: 0.7901
Episode  14500/1000000 | Mean reward (last 500): -0.86 | Win rate: 49.7% | Win rate (last 500): 47.0% | Policy loss: -0.0028 | Value loss: 92.2961 | Entropy: 0.7798
Episode  15000/1000000 | Mean reward (last 500): +1.70 | Win rate: 49.8% | Win rate (last 500): 52.2% | Policy loss: -0.0046 | Value loss: 89.5018 | Entropy: 0.7824
Episode  15500/1000000 | Mean reward (last 500): -0.79 | Win rate: 49.7% | Win rate (last 500): 48.4% | Policy loss: -0.0037 | Value loss: 91.2086 | Entropy: 0.7641
Episode  16000/1000000 | Mean reward (last 500): +1.33 | Win rate: 49.8% | Win rate (last 500): 52.8% | Policy loss: -0.0030 | Value loss: 91.5647 | Entropy: 0.7684
Episode  16500/1000000 | Mean reward (last 500): +1.45 | Win rate: 49.9% | Win rate (last 500): 52.2% | Policy loss: -0.0036 | Value loss: 89.6553 | Entropy: 0.7726
Episode  17000/1000000 | Mean reward (last 500): +0.07 | Win rate: 49.9% | Win rate (last 500): 49.4% | Policy loss: -0.0034 | Value loss: 90.5482 | Entropy: 0.7552
Episode  17500/1000000 | Mean reward (last 500): +2.08 | Win rate: 50.0% | Win rate (last 500): 53.4% | Policy loss: -0.0031 | Value loss: 94.2558 | Entropy: 0.7488
Episode  18000/1000000 | Mean reward (last 500): +2.02 | Win rate: 50.1% | Win rate (last 500): 53.4% | Policy loss: -0.0049 | Value loss: 90.4285 | Entropy: 0.7307
Episode  18500/1000000 | Mean reward (last 500): +3.59 | Win rate: 50.2% | Win rate (last 500): 56.2% | Policy loss: -0.0034 | Value loss: 89.4028 | Entropy: 0.7238
Episode  19000/1000000 | Mean reward (last 500): +1.41 | Win rate: 50.3% | Win rate (last 500): 52.2% | Policy loss: -0.0046 | Value loss: 86.2246 | Entropy: 0.7295
Episode  19500/1000000 | Mean reward (last 500): +1.31 | Win rate: 50.3% | Win rate (last 500): 51.8% | Policy loss: -0.0039 | Value loss: 92.4230 | Entropy: 0.7298
Episode  20000/1000000 | Mean reward (last 500): +2.23 | Win rate: 50.4% | Win rate (last 500): 54.2% | Policy loss: -0.0037 | Value loss: 88.3963 | Entropy: 0.7159
