Episode  18000/500000 | Mean reward (last 500): +5.58 | Win rate: 54.9% | Win rate (last 500): 60.6% | Policy loss: -0.0202 | Value loss: 76.6703 | Entropy: 0.6475
Episode  18500/500000 | Mean reward (last 500): +5.83 | Win rate: 55.1% | Win rate (last 500): 61.6% | Policy loss: -0.0234 | Value loss: 80.5806 | Entropy: 0.6958
Episode  19000/500000 | Mean reward (last 500): +2.70 | Win rate: 55.1% | Win rate (last 500): 55.0% | Policy loss: -0.0173 | Value loss: 86.7214 | Entropy: 0.6937
Episode  19500/500000 | Mean reward (last 500): +4.34 | Win rate: 55.2% | Win rate (last 500): 57.6% | Policy loss: -0.0160 | Value loss: 86.2391 | Entropy: 0.6832
Episode  20000/500000 | Mean reward (last 500): +4.64 | Win rate: 55.3% | Win rate (last 500): 58.8% | Policy loss: -0.0217 | Value loss: 89.4747 | Entropy: 0.6617
Episode  20500/500000 | Mean reward (last 500): +4.45 | Win rate: 55.3% | Win rate (last 500): 57.6% | Policy loss: -0.0227 | Value loss: 84.6098 | Entropy: 0.6735
Episode  21000/500000 | Mean reward (last 500): +6.32 | Win rate: 55.5% | Win rate (last 500): 62.4% | Policy loss: -0.0197 | Value loss: 79.0329 | Entropy: 0.6685
Episode  21500/500000 | Mean reward (last 500): +6.59 | Win rate: 55.7% | Win rate (last 500): 63.0% | Policy loss: -0.0234 | Value loss: 81.5768 | Entropy: 0.6658
Episode  22000/500000 | Mean reward (last 500): +5.67 | Win rate: 55.8% | Win rate (last 500): 60.4% | Policy loss: -0.0256 | Value loss: 77.1193 | Entropy: 0.6467
Episode  22500/500000 | Mean reward (last 500): +5.97 | Win rate: 55.9% | Win rate (last 500): 61.6% | Policy loss: -0.0198 | Value loss: 87.1237 | Entropy: 0.6613
Episode  23000/500000 | Mean reward (last 500): +7.08 | Win rate: 56.1% | Win rate (last 500): 63.6% | Policy loss: -0.0185 | Value loss: 75.1485 | Entropy: 0.6772
Episode  23500/500000 | Mean reward (last 500): +6.62 | Win rate: 56.2% | Win rate (last 500): 63.2% | Policy loss: -0.0198 | Value loss: 79.5609 | Entropy: 0.6931
Episode  24000/500000 | Mean reward (last 500): +7.07 | Win rate: 56.4% | Win rate (last 500): 63.4% | Policy loss: -0.0192 | Value loss: 81.4517 | Entropy: 0.6992
Episode  24500/500000 | Mean reward (last 500): +5.48 | Win rate: 56.4% | Win rate (last 500): 60.2% | Policy loss: -0.0198 | Value loss: 82.8825 | Entropy: 0.7102
Episode  25000/500000 | Mean reward (last 500): +5.78 | Win rate: 56.5% | Win rate (last 500): 61.2% | Policy loss: -0.0242 | Value loss: 83.1933 | Entropy: 0.7302
Episode  25500/500000 | Mean reward (last 500): +4.22 | Win rate: 56.6% | Win rate (last 500): 57.8% | Policy loss: -0.0222 | Value loss: 82.7567 | Entropy: 0.7204
Episode  26000/500000 | Mean reward (last 500): +6.72 | Win rate: 56.7% | Win rate (last 500): 62.4% | Policy loss: -0.0206 | Value loss: 83.0408 | Entropy: 0.7185
Episode  26500/500000 | Mean reward (last 500): +5.47 | Win rate: 56.7% | Win rate (last 500): 59.4% | Policy loss: -0.0244 | Value loss: 81.8950 | Entropy: 0.6631
Episode  27000/500000 | Mean reward (last 500): +6.19 | Win rate: 56.8% | Win rate (last 500): 61.6% | Policy loss: -0.0214 | Value loss: 78.9110 | Entropy: 0.6896
Episode  27500/500000 | Mean reward (last 500): +6.84 | Win rate: 56.9% | Win rate (last 500): 63.2% | Policy loss: -0.0215 | Value loss: 81.1496 | Entropy: 0.6865
Episode  28000/500000 | Mean reward (last 500): +6.81 | Win rate: 57.1% | Win rate (last 500): 64.0% | Policy loss: -0.0228 | Value loss: 81.6186 | Entropy: 0.6881
Episode  28500/500000 | Mean reward (last 500): +7.20 | Win rate: 57.2% | Win rate (last 500): 63.6% | Policy loss: -0.0258 | Value loss: 80.6728 | Entropy: 0.6820
Episode  29000/500000 | Mean reward (last 500): +7.67 | Win rate: 57.3% | Win rate (last 500): 64.4% | Policy loss: -0.0236 | Value loss: 71.7148 | Entropy: 0.6844
Episode  29500/500000 | Mean reward (last 500): +5.44 | Win rate: 57.3% | Win rate (last 500): 60.0% | Policy loss: -0.0248 | Value loss: 86.0783 | Entropy: 0.6935
Episode  30000/500000 | Mean reward (last 500): +6.53 | Win rate: 57.4% | Win rate (last 500): 61.6% | Policy loss: -0.0328 | Value loss: 77.8666 | Entropy: 0.6764
Episode  30500/500000 | Mean reward (last 500): +8.30 | Win rate: 57.6% | Win rate (last 500): 66.0% | Policy loss: -0.0267 | Value loss: 82.9828 | Entropy: 0.6818
Episode  31000/500000 | Mean reward (last 500): +7.77 | Win rate: 57.7% | Win rate (last 500): 65.2% | Policy loss: -0.0225 | Value loss: 82.6609 | Entropy: 0.6528
Episode  31500/500000 | Mean reward (last 500): +6.56 | Win rate: 57.8% | Win rate (last 500): 62.2% | Policy loss: -0.0222 | Value loss: 80.6139 | Entropy: 0.6515
Episode  32000/500000 | Mean reward (last 500): +6.17 | Win rate: 57.8% | Win rate (last 500): 61.2% | Policy loss: -0.0207 | Value loss: 85.8909 | Entropy: 0.6676
Episode  32500/500000 | Mean reward (last 500): +7.47 | Win rate: 57.9% | Win rate (last 500): 64.4% | Policy loss: -0.0259 | Value loss: 78.4542 | Entropy: 0.6559
Episode  33000/500000 | Mean reward (last 500): +8.11 | Win rate: 58.0% | Win rate (last 500): 65.4% | Policy loss: -0.0209 | Value loss: 86.1804 | Entropy: 0.6591
Episode  33500/500000 | Mean reward (last 500): +8.35 | Win rate: 58.1% | Win rate (last 500): 66.2% | Policy loss: -0.0265 | Value loss: 78.8379 | Entropy: 0.6574
Episode  34000/500000 | Mean reward (last 500): +6.76 | Win rate: 58.2% | Win rate (last 500): 62.8% | Policy loss: -0.0260 | Value loss: 79.1963 | Entropy: 0.6431
Episode  34500/500000 | Mean reward (last 500): +8.37 | Win rate: 58.3% | Win rate (last 500): 65.8% | Policy loss: -0.0290 | Value loss: 78.1808 | Entropy: 0.6421
Episode  35000/500000 | Mean reward (last 500): +7.89 | Win rate: 58.4% | Win rate (last 500): 65.4% | Policy loss: -0.0289 | Value loss: 73.3333 | Entropy: 0.6470
Episode  35500/500000 | Mean reward (last 500): +8.61 | Win rate: 58.5% | Win rate (last 500): 66.6% | Policy loss: -0.0204 | Value loss: 77.9831 | Entropy: 0.6473
Episode  36000/500000 | Mean reward (last 500): +7.09 | Win rate: 58.6% | Win rate (last 500): 63.2% | Policy loss: -0.0283 | Value loss: 80.5662 | Entropy: 0.6711
Episode  36500/500000 | Mean reward (last 500): +8.22 | Win rate: 58.7% | Win rate (last 500): 66.0% | Policy loss: -0.0212 | Value loss: 89.6283 | Entropy: 0.6585
Episode  37000/500000 | Mean reward (last 500): +8.05 | Win rate: 58.8% | Win rate (last 500): 65.2% | Policy loss: -0.0223 | Value loss: 75.5284 | Entropy: 0.6631
Episode  37500/500000 | Mean reward (last 500): +7.07 | Win rate: 58.9% | Win rate (last 500): 63.8% | Policy loss: -0.0246 | Value loss: 80.1981 | Entropy: 0.6575
Episode  38000/500000 | Mean reward (last 500): +7.88 | Win rate: 58.9% | Win rate (last 500): 65.0% | Policy loss: -0.0220 | Value loss: 69.3222 | Entropy: 0.6749
Episode  38500/500000 | Mean reward (last 500): +8.50 | Win rate: 59.0% | Win rate (last 500): 65.8% | Policy loss: -0.0198 | Value loss: 90.7543 | Entropy: 0.6560
Episode  39000/500000 | Mean reward (last 500): +6.00 | Win rate: 59.1% | Win rate (last 500): 61.0% | Policy loss: -0.0252 | Value loss: 78.6796 | Entropy: 0.6765
Episode  39500/500000 | Mean reward (last 500): +7.44 | Win rate: 59.1% | Win rate (last 500): 63.8% | Policy loss: -0.0231 | Value loss: 84.8827 | Entropy: 0.6636
Episode  40000/500000 | Mean reward (last 500): +7.40 | Win rate: 59.2% | Win rate (last 500): 63.6% | Policy loss: -0.0253 | Value loss: 82.7053 | Entropy: 0.6791
Episode  40500/500000 | Mean reward (last 500): +9.77 | Win rate: 59.3% | Win rate (last 500): 68.8% | Policy loss: -0.0258 | Value loss: 63.6393 | Entropy: 0.6577
Episode  41000/500000 | Mean reward (last 500): +9.10 | Win rate: 59.4% | Win rate (last 500): 67.6% | Policy loss: -0.0282 | Value loss: 78.7907 | Entropy: 0.6584
Episode  41500/500000 | Mean reward (last 500): +9.46 | Win rate: 59.5% | Win rate (last 500): 68.0% | Policy loss: -0.0269 | Value loss: 68.9348 | Entropy: 0.6681
Episode  42000/500000 | Mean reward (last 500): +8.84 | Win rate: 59.6% | Win rate (last 500): 67.0% | Policy loss: -0.0257 | Value loss: 73.5238 | Entropy: 0.6751
Episode  42500/500000 | Mean reward (last 500): +11.17 | Win rate: 59.7% | Win rate (last 500): 71.6% | Policy loss: -0.0242 | Value loss: 70.4286 | Entropy: 0.6920
Episode  43000/500000 | Mean reward (last 500): +8.36 | Win rate: 59.8% | Win rate (last 500): 65.8% | Policy loss: -0.0273 | Value loss: 79.4681 | Entropy: 0.6714
Episode  43500/500000 | Mean reward (last 500): +8.58 | Win rate: 59.9% | Win rate (last 500): 66.8% | Policy loss: -0.0229 | Value loss: 70.8787 | Entropy: 0.6844
Episode  44000/500000 | Mean reward (last 500): +7.64 | Win rate: 59.9% | Win rate (last 500): 64.4% | Policy loss: -0.0243 | Value loss: 81.5135 | Entropy: 0.6941
Episode  44500/500000 | Mean reward (last 500): +9.31 | Win rate: 60.0% | Win rate (last 500): 68.0% | Policy loss: -0.0237 | Value loss: 67.3934 | Entropy: 0.7087
Episode  45000/500000 | Mean reward (last 500): +7.10 | Win rate: 60.1% | Win rate (last 500): 63.6% | Policy loss: -0.0293 | Value loss: 83.1004 | Entropy: 0.6856
Episode  45500/500000 | Mean reward (last 500): +8.93 | Win rate: 60.1% | Win rate (last 500): 67.0% | Policy loss: -0.0290 | Value loss: 64.7103 | Entropy: 0.7032
Episode  46000/500000 | Mean reward (last 500): +8.67 | Win rate: 60.2% | Win rate (last 500): 66.2% | Policy loss: -0.0288 | Value loss: 77.6341 | Entropy: 0.7047
Episode  46500/500000 | Mean reward (last 500): +9.65 | Win rate: 60.3% | Win rate (last 500): 68.8% | Policy loss: -0.0282 | Value loss: 65.2971 | Entropy: 0.6911
Episode  47000/500000 | Mean reward (last 500): +8.08 | Win rate: 60.3% | Win rate (last 500): 65.2% | Policy loss: -0.0302 | Value loss: 82.1424 | Entropy: 0.6730
